C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:06:48

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib;#not
----;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------------;----;----
1167;HD 1562                            ;PM*;00 20 00.4079121242 +38 13 38.631661719;     ~   ;7.61     ;     ~   ;6.6      ;     ~   ;G1V                  ;  94;   0
1168;* sig And                          ;PM*;00 18 19.6573687726 +36 47 06.808541679;4.64     ;4.57     ;4.52     ;4.44     ;4.44     ;A2V                  ; 154;   0
1169;V* R And                           ;S* ;00 24 01.9457463096 +38 34 37.370144352;10.61    ;9.36     ;7.39     ;4.45     ;2.30     ;S5-7/4-5e            ; 369;   0
1170;* mu. And                          ;PM*;00 56 45.2090751570 +38 29 57.603377713;4.14     ;3.99     ;3.87     ;3.72     ;3.64     ;A6V                  ; 227;   0
1171;* bet And                          ;PM*;01 09 43.92388 +35 37 14.0075          ;5.58     ;3.62     ;2.05     ;0.81     ;-0.19    ;M0+IIIa              ; 572;   1
1172;HD 12051                           ;PM*;01 59 06.6332996428 +33 12 34.859320623;     ~   ;7.92     ;     ~   ;6.7      ;     ~   ;G9V                  ; 123;   0
1173;HD 14348                           ;PM*;02 19 52.9249941168 +31 20 14.917557336;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;F5                   ;  41;   0
1174;* 39 Ari                           ;PM*;02 47 54.5420751618 +29 14 49.625779256;6.710    ;5.630    ;4.510    ;3.72     ;3.14     ;K0.5IIIb             ; 184;   0
1175;HD 16397                           ;PM*;02 38 27.8623940856 +30 48 59.857575511;7.98     ;7.96     ;7.37     ;6.84     ;6.49     ;G0V                  ; 166;   0
1176;V* VY Ari                          ;RS*;02 48 43.7287198695 +31 06 54.592461256;     ~   ;7.72     ;     ~   ;6.4      ;     ~   ;G9                   ; 241;   0
1177;V* V460 Cyg                        ;C* ;21 42 01.0830893088 +35 30 36.719916552;12.97    ;8.32     ;5.84     ;4.10     ;2.71     ;C-N5                 ; 220;   1
1178;HD 207702                          ;SB*;21 50 05.5803663528 +34 49 28.677809460;     ~   ;9.321    ;7.662    ;6.94     ;     ~   ;K5                   ;   5;   0
1179;* 1 Lac                            ;*  ;22 15 58.1768995862 +37 44 55.446825079;7.24     ;5.61     ;4.15     ;3.15     ;2.43     ;K3-II-III            ; 113;   0
1180;HD 210667                          ;BY*;22 11 11.9130867672 +36 15 22.771283184;     ~   ;8.09     ;     ~   ;6.7      ;     ~   ;G9V                  ; 110;   0
1181;HD 212487                          ;PM*;22 23 54.2528467824 +38 34 25.005700416;     ~   ;6.71     ;     ~   ;5.9      ;     ~   ;F5IV:                ;  60;   0
1182;* 8 Lac B                          ;*  ;22 35 52.0990532376 +39 37 41.339738568;4.61     ;5.52     ;5.67     ;5.88     ;6.06     ;B1.Vs                ; 120;   0
1183;* 10 Lac                           ;** ;22 39 15.6786372 +39 03 00.971152      ;3.650    ;4.670    ;4.880    ;4.98     ;5.19     ;O9V                  ; 790;   0
1184;* 14 And                           ;PM*;23 31 17.4132523248 +39 14 10.314703644;     ~   ;6.24     ;     ~   ;4.6      ;     ~   ;G8III                ; 192;   1
1185;HD 220807                          ;PM*;23 26 27.3087951888 +40 23 11.422257576;     ~   ;     ~   ;     ~   ;6.2      ;     ~   ;G5                   ;  22;   0
1186;* 15 And                           ;dS*;23 34 37.5368337288 +40 14 11.182658856;     ~   ;5.652    ;5.563    ;6.91     ;     ~   ;A1Va                 ; 141;   0
1187;HD 223636                          ;PM*;23 51 18.6805777560 +40 11 54.740242608;     ~   ;7.19     ;     ~   ;6.5      ;     ~   ;F8                   ;  42;   0
1188;HD 445                             ;PM*;00 09 03.6742300848 +40 50 34.295411364;     ~   ;     ~   ;     ~   ;6.4      ;     ~   ;G5                   ;  27;   0
1189;* 23 And                           ;PM*;00 13 30.8399867400 +41 02 07.335805740;     ~   ;6.03     ;     ~   ;5.5      ;     ~   ;F0IV                 ;  77;   0
1190;HD 3765                            ;PM*;00 40 49.2698857963 +40 11 13.823048636;     ~   ;8.30     ;     ~   ;6.8      ;     ~   ;K2V                  ; 281;   0
1191;* nu. And                          ;SB*;00 49 48.8463243776 +41 04 44.079221948;3.80     ;4.38     ;4.53     ;4.56     ;4.71     ;B5V                  ; 229;   0
1192;* 56 And                           ;PM*;01 56 09.3646485360 +37 15 06.598615716;     ~   ;     ~   ;     ~   ;5.0      ;     ~   ;K0III                ; 103;   0
1193;* bet Tri                          ;SB*;02 09 32.62712 +34 59 14.2694          ;3.26     ;3.14     ;3.00     ;2.86     ;2.78     ;A5III                ; 231;   0
1194;* del Tri                          ;SB*;02 17 03.2303387763 +34 13 27.235383770;5.50     ;5.48     ;     ~   ;4.5      ;     ~   ;G0.5VFe-0.5          ; 411;   0
1195;* ups Cyg                          ;Be*;21 17 55.0858548408 +34 53 48.825463560;3.50     ;4.32     ;4.42     ;4.37     ;4.45     ;B2Vne                ; 321;   0
1196;* 72 Cyg                           ;PM*;21 34 46.5868653816 +38 32 02.640439968;6.99     ;5.99     ;4.91     ;4.09     ;3.55     ;K0.5IIIFe0.5         ; 190;   0
1197;HD 211073                          ;** ;22 13 52.7275081368 +39 42 53.728839720;7.32     ;5.88     ;4.49     ;3.48     ;2.74     ;K2.5III              ; 118;   0
1198;HD 215030                          ;PM*;22 41 36.0511405296 +41 32 56.847112224;7.650    ;6.940    ;     ~   ;5.3      ;     ~   ;G9III                ;  63;   0
1199;* omi And                          ;Be*;23 01 55.2649954408 +42 19 33.655865640;3.00     ;3.53     ;3.62     ;3.61     ;3.69     ;B6IV/V_sh            ; 437;   0
1200;* 6 And                            ;SB*;23 10 27.2411998176 +43 32 38.534035632;     ~   ;6.38     ;     ~   ;5.6      ;     ~   ;F5V                  ; 126;   0
1201;HD 220182                          ;BY*;23 21 36.5123349000 +44 05 52.374630116;     ~   ;8.16     ;     ~   ;6.8      ;     ~   ;G9V                  ; 142;   0
1202;HD 221613                          ;SB*;23 33 24.0668684567 +42 50 47.754577571;     ~   ;7.741    ;7.154    ;6.8      ;     ~   ;G0                   ;  65;   0
1203;* iot And                          ;Pu*;23 38 08.2003054524 +43 16 05.062997840;3.90     ;4.18     ;4.29     ;4.29     ;4.38     ;B8V                  ; 169;   0
1204;* kap And                          ;PM*;23 40 24.5077390991 +44 20 02.158669634;3.80     ;4.06     ;4.14     ;4.15     ;4.22     ;B9IVn                ; 211;   0
1205;HD 5129                            ;SB*;00 53 40.5787674377 +43 21 48.184465403;     ~   ;     ~   ;     ~   ;6.8      ;     ~   ;G0                   ;  39;   0
1206;V* QU And                          ;RS*;01 13 06.0701770092 +41 39 15.508386213;     ~   ;8.07     ;     ~   ;6.8      ;     ~   ;G5                   ;  57;   0
1207;HD 8995                            ;PM*;01 29 26.4509660880 +42 16 54.856447140;     ~   ;     ~   ;     ~   ;6.9      ;     ~   ;F5                   ;  33;   0
1208;* tau And                          ;*  ;01 40 34.8161856549 +40 34 37.339701270;4.44     ;4.85     ;4.94     ;4.95     ;5.02     ;B8III                ;  85;   0
1209;* ups And                          ;PM*;01 36 47.8415443907 +41 24 19.651368029;4.70     ;4.64     ;4.10     ;3.64     ;3.35     ;F9V                  ;1018;   1
1210;HD 11907                           ;PM*;01 57 55.4776108992 +40 45 38.175384744;     ~   ;     ~   ;     ~   ;6.6      ;     ~   ;F5                   ;  31;   0
1211;* 58 And                           ;PM*;02 08 29.2611176620 +37 51 32.706475762;5.08     ;4.94     ;4.82     ;4.68     ;4.61     ;A5IV-V               ;  98;   0
1212;* 17 Per                           ;PM*;02 51 30.8373459264 +35 03 35.062935948;8.02     ;6.10     ;4.53     ;3.32     ;2.37     ;K5.5III              ; 134;   0
1213;HD 78366                           ;PM*;09 08 51.0703818408 +33 52 55.986351384;     ~   ;6.53     ;     ~   ;5.6      ;     ~   ;G0IV-V               ; 279;   0
1214;HD 77408                           ;PM*;09 03 15.7430487906 +32 52 53.167659330;     ~   ;7.53     ;     ~   ;6.8      ;     ~   ;F6IV                 ;  79;   0
1215;V* RS Cnc                          ;S* ;09 10 38.7970163421 +30 57 47.291122681;8.65     ;7.62     ;5.95     ;3.06     ;0.73     ;M6S                  ; 330;   0
1216;* 75 Cnc                           ;SB*;09 08 47.3310550733 +26 37 44.817238087;     ~   ;6.62     ;5.95     ;5.5      ;     ~   ;G5IV-V               ; 145;   0
1217;* kap Pyx                          ;*  ;09 08 02.8798624200 -25 51 30.736370268;8.04     ;6.17     ;4.56     ;3.32     ;2.42     ;K4III                ;  59;   0
1218;* 19 UMa                           ;HB*;09 15 14.2459147392 +34 38 00.659017644;     ~   ;     ~   ;     ~   ;5.5      ;     ~   ;G6III                ; 157;   0
1219;* alf Lyn                          ;PM*;09 21 03.3002104870 +34 23 33.213441656;6.63     ;4.69     ;3.14     ;1.91     ;1.01     ;K6III                ; 220;   0
1220;HD 80536                           ;PM*;09 21 10.6016307192 +25 09 47.597427612;     ~   ;     ~   ;     ~   ;6.9      ;     ~   ;G0                   ;  42;   0
1221;HD 79765                           ;PM*;09 16 27.1079681472 +18 48 36.915245496;7.310    ;7.320    ;     ~   ;6.8      ;     ~   ;A3                   ;  47;   0
1222;* 83 Cnc                           ;PM*;09 18 58.8555223728 +17 42 19.012491144;7.05     ;7.11     ;6.64     ;6.18     ;5.89     ;F5                   ; 107;   0
1223;* pi.01 Cnc                        ;SB*;09 12 17.5474052342 +14 59 45.776204103;7.49     ;7.24     ;6.51     ;5.90     ;5.52     ;G9V                  ; 234;   0
1224;* tet Hya                          ;SB*;09 14 21.8600711562 +02 18 51.551915906;     ~   ;3.82     ;     ~   ;3.9      ;     ~   ;B9.5V+DA1.6          ; 224;   0
1225;* tet Pyx                          ;*  ;09 21 29.5903106784 -25 57 55.586267712;8.36     ;6.33     ;4.72     ;3.32     ;2.24     ;M0.5IIIBa0.5         ;  73;   0
1226;* kap Leo                          ;** ;09 24 39.2586717722 +26 10 56.367449863;7.00     ;5.69     ;4.46     ;3.55     ;2.92     ;K2IIIb               ; 148;   0
1227;HD 82443                           ;BY*;09 32 43.7594578944 +26 59 18.706023348;     ~   ;7.78     ;     ~   ;6.6      ;     ~   ;G9V(k)               ; 271;   0
1228;* lam Leo                          ;*  ;09 31 43.2297382366 +22 58 04.732628945;7.74     ;5.85     ;4.31     ;3.09     ;2.19     ;K4.5III              ; 106;   0
1229;HD 82106                           ;PM*;09 29 54.8251829217 +05 39 18.473349688;9.071    ;8.223    ;7.197    ;6.626    ;6.13     ;K3V                  ; 231;   0
1230;* alf Hya                          ;*  ;09 27 35.24270 -08 39 30.9583          ;5.14     ;3.42     ;1.97     ;0.93     ;0.16     ;K3IIIa               ; 455;   1
1231;* lam Pyx                          ;PM*;09 23 12.2502975192 -28 50 01.900865148;6.22     ;5.59     ;4.68     ;3.97     ;3.50     ;G8.5IIIbFe-1         ;  63;   0
1232;* eps Ant                          ;*  ;09 29 14.7196016256 -35 57 04.814778864;7.63     ;5.95     ;4.51     ;3.50     ;2.74     ;K3III                ;  52;   0
1233;* 11 LMi                           ;RS*;09 35 39.5021937366 +35 48 36.477051175;6.560    ;6.110    ;5.340    ;4.79     ;4.42     ;G8Va                 ; 407;   0
1234;V* DR Leo                          ;LP*;09 41 35.1164474616 +31 16 40.128589164;9.18     ;7.42     ;5.84     ;4.55     ;3.58     ;K6III                ;  54;   0
1235;* omi Leo                          ;SB*;09 41 09.0321741326 +09 53 32.308426423;4.22     ;4.01     ;3.52     ;3.11     ;2.88     ;F8-G0III+A7m         ; 163;   0
1236;* 2 Sex                            ;PM*;09 38 27.2885284367 +04 38 57.453963996;7.45     ;6.00     ;4.68     ;3.62     ;2.91     ;K3III                ; 119;   0
1237;* iot Hya                          ;PM*;09 39 51.3614722468 -01 08 34.118633450;6.68     ;5.23     ;3.91     ;2.92     ;2.25     ;K2.5III              ; 191;   0
1238;* I Hya                            ;Be*;09 41 17.0067101149 -23 35 29.451517089;4.07     ;4.65     ;4.76     ;4.75     ;4.84     ;B5V                  ; 182;   0
1239;* tet Ant                          ;** ;09 44 12.0951165 -27 46 10.101055      ;5.65     ;5.29     ;4.79     ;4.32     ;4.00     ;A7V+G8III            ;  92;   0
1240;* mu. Leo                          ;PM*;09 52 45.8170136628 +26 00 25.024269924;6.50     ;5.10     ;3.88     ;2.97     ;2.39     ;K2IIIbCN1Ca1         ; 479;   0
1241;* g Leo                            ;PM*;09 51 53.0036478840 +24 23 42.941618844;     ~   ;     ~   ;     ~   ;5.2      ;     ~   ;A5IV                 ;  72;   0
1242;* eps Leo                          ;*  ;09 45 51.0736168507 +23 46 27.313597604;4.23     ;3.79     ;2.98     ;2.36     ;1.93     ;G1IIIa               ; 354;   0
1243;V* R Leo                           ;Mi*;09 47 33.4839808805 +11 25 43.823283729;9.22     ;8.94     ;7.53     ;3.39     ;0.12     ;M7-9e                ; 943;   1
1244;* 4 Sex                            ;SB*;09 50 30.0821274083 +04 20 37.136042875;     ~   ;     ~   ;     ~   ;6.0      ;     ~   ;F5V                  ;  92;   0
1245;* 7 Sex                            ;PM*;09 52 12.1641996384 +02 27 14.865250500;5.90     ;5.98     ;     ~   ;6.0      ;     ~   ;A0III/IV             ; 120;   0
1246;* gam Sex                          ;** ;09 52 30.43727 -08 06 18.1269          ;     ~   ;     ~   ;     ~   ;6.46     ;     ~   ;A0/1V                ; 112;   0
1247;* ups01 Hya                        ;*  ;09 51 28.6749789221 -14 50 47.863368049;5.68     ;5.03     ;4.11     ;3.42     ;2.95     ;G7III                ; 166;   0
1248;HD 87127                           ;PM*;10 03 53.4925362960 +38 01 13.571734116;     ~   ;     ~   ;     ~   ;6.5      ;     ~   ;F5                   ;  30;   0
1249;* 21 LMi                           ;dS*;10 07 25.7623702826 +35 14 40.905120440;4.74     ;4.67     ;4.49     ;4.31     ;4.24     ;A7V(n)               ; 234;   0
1250;* 20 LMi                           ;PM*;10 01 00.6568762394 +31 55 25.213014837;     ~   ;6.05     ;5.37     ;4.9      ;     ~   ;G3VaHdel1            ; 430;   0
1251;* eta Leo                          ;sg*;10 07 19.9523915176 +16 45 45.587968398;3.17     ;3.39     ;3.41     ;3.32     ;3.35     ;A0Ib                 ; 351;   0
1252;* pi. Leo                          ;*  ;10 00 12.8060146393 +08 02 39.190724909;8.22     ;6.30     ;4.70     ;3.27     ;2.19     ;M2-III               ; 152;   0
1253;HD 86612                           ;Be*;09 59 06.3044206872 -23 57 02.767063320;5.51     ;6.13     ;6.25     ;6.14     ;6.19     ;B5IVe                ; 104;   0
1254;* 35 Leo                           ;PM*;10 16 32.2892262264 +23 30 11.206765404;6.85     ;6.64     ;     ~   ;5.6      ;     ~   ;G1.5IV-V             ; 170;   0
1255;* zet Leo                          ;*  ;10 16 41.4151642435 +23 25 02.341160368;3.89     ;3.72     ;3.41     ;3.09     ;2.91     ;F0IIIa               ; 235;   0
1256;HD 88270                           ;PM*;10 11 08.5624426896 +20 41 46.122599472;     ~   ;     ~   ;     ~   ;6.4      ;     ~   ;sdF2                 ;  44;   0
1257;HD 88737                           ;PM*;10 14 29.7521686848 +21 10 04.973666520;     ~   ;     ~   ;     ~   ;5.7      ;     ~   ;F9V                  ; 144;   0
1258;* 31 Leo                           ;PM*;10 07 54.2701166766 +09 59 51.024749763;7.57     ;5.82     ;4.38     ;3.26     ;2.49     ;K3.5IIIbFe-1:        ; 150;   0
1259;* alf Leo                          ;PM*;10 08 22.31099 +11 58 01.9516          ;0.88     ;1.24     ;1.40     ;1.37     ;1.47     ;B8IVn                ; 891;   1
1260;HD 89307                           ;PM*;10 18 21.2877106152 +12 37 15.990903516;7.650    ;7.590    ;     ~   ;6.7      ;     ~   ;G0V                  ; 132;   1
1261;* lam Hya                          ;SB*;10 10 35.2885811545 -12 21 14.858923765;5.53     ;4.61     ;3.61     ;2.84     ;2.36     ;K0IIIbCN0.5          ; 211;   0
1262;HD 89351                           ;PM*;10 18 23.7607480272 -13 18 17.133354216;     ~   ;8.03     ;8.819    ;6.4      ;9.057    ;G8/K0III             ;  20;   0
1263;HD 88346                           ;*  ;10 10 52.2624715536 -15 42 33.060432528;     ~   ;8.47     ;6.94     ;6.08     ;9.089    ;K3III                ;  17;   0
1264;* mu. UMa                          ;SB*;10 22 19.7276765267 +41 29 58.337745272;6.53     ;4.64     ;3.05     ;1.76     ;0.80     ;M0III                ; 331;   0
1265;* bet LMi                          ;** ;10 27 52.9995995 +36 42 25.956038      ;5.76     ;5.11     ;4.21     ;3.52     ;3.06     ;G9III                ; 231;   0
1266;* gam02 Leo                        ;PM*;10 19 58.619717 +19 50 26.70347        ;     ~   ;3.4      ;     ~   ;2.2      ;     ~   ;G7IIIbFe-1.5         ; 149;   0
1267;* gam01 Leo                        ;PM*;10 19 58.354462 +19 50 29.35920        ;4.13     ;3.44     ;2.23     ;1.13     ;0.51     ;K1-IIIFe-1           ; 289;   1
1268;* 40 Leo                           ;dS*;10 19 44.1672125464 +19 28 15.285966538;     ~   ;5.24     ;     ~   ;4.5      ;     ~   ;F6IV-V               ; 288;   0
1269;HD 89995                           ;PM*;10 23 14.6182657248 +05 41 39.284234232;     ~   ;7.00     ;     ~   ;6.3      ;     ~   ;F6V                  ;  77;   0
1270;HD 90905                           ;PM*;10 29 42.2298999216 +01 29 28.037560668;     ~   ;     ~   ;     ~   ;6.5      ;     ~   ;G1V                  ; 102;   0
