C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.17CEST15:56:01

Rmag < 7 & maintypes='*'
------------------------

Number of objects : 2146

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      
1698;V* V992 Her                        ;LP*;18 26 56.9759669304 +17 44 02.464065996;   0.261 -4.819     ;3.8649    ;16.38      ;0.000055    ;16.38      ;     ~   ;10.15    ;9.206    ;6.73     ;7.746    ;K0                   
1699;* 111 Her                          ;PM*;18 47 01.2343128144 +18 10 53.457823992; 98.835 115.120     ;34.9987   ;-44.6      ;-0.000149   ;-44.60     ;4.56     ;4.49     ;4.36     ;4.19     ;4.13     ;AVa+                 
1700;HD 175743                          ;PM*;18 56 06.1210399992 +18 06 19.475094852;-47.296 -160.447    ;11.2107   ;45.69      ;0.000152    ;45.69      ;     ~   ;     ~   ;     ~   ;5.0      ;     ~   ;K1III                
1701;HD 178428                          ;SB*;19 07 57.3202744638 +16 51 12.174804109;65.286 -303.234     ;47.3289   ;14.36      ;0.000048    ;14.36      ;     ~   ;6.77     ;6.07     ;5.6      ;     ~   ;G4.5V                
1702;HD 183143                          ;s*b;19 27 26.5636061496 +18 17 45.193019136;  -1.004 -5.703     ;0.4296    ;12.6       ;0.000042    ;12.60      ;8.25     ;8.08     ;6.86     ;5.74     ;4.79     ;B7Ia+                
1703;* bet Sge                          ;*  ;19 41 02.9389551192 +17 28 33.752680392;  8.180 -33.113     ;7.3764    ;-21.76     ;-0.000073   ;-21.76     ;6.33     ;5.43     ;4.38     ;3.66     ;3.16     ;G8IIIaCN0.5          
1704;* 10 Sge                           ;cC*;19 56 01.2628947456 +16 38 05.262056412;   0.375 -7.100     ;1.6673    ;-30.0176   ;-0.000100   ;-30.02     ;6.45     ;6.03     ;5.36     ;6.81     ;4.789    ;F7Ib                 
1705;HD 190067                          ;PM*;20 02 34.1553139987 +15 35 31.468310729;-158.797 -581.785   ;51.9167   ;20.431     ;0.000068    ;20.43      ;8.098    ;7.854    ;7.115    ;6.696    ;6.304    ;K0VFe-0.9            
1706;HD 190323                          ;*  ;20 03 49.6140929712 +14 58 58.745962164;  -2.887 -4.624     ;0.2182    ;26.71      ;0.000089    ;26.71      ;8.54     ;8.03     ;7.03     ;6.33     ;5.88     ;F8Ia                 
1707;HD 191785                          ;PM*;20 11 06.0739902510 +16 11 16.792976869;-415.062 398.487    ;48.9262   ;-49.285    ;-0.000164   ;-49.28     ;8.665    ;8.167    ;7.323    ;6.862    ;6.437    ;K0V                  
1708;* bet Del                          ;** ;20 37 32.94130 +14 35 42.3195          ;  118.09 -48.06     ;32.33     ;-32.57     ;-0.000109   ;-32.57     ;4.16     ;4.07     ;3.63     ;3.23     ;2.99     ;F5IV                 
1709;* tet Del                          ;s*r;20 38 43.9865193912 +13 18 54.455461128;    2.985 0.088     ;1.6865    ;-15.09     ;-0.000050   ;-15.09     ;8.91     ;7.23     ;5.71     ;4.63     ;3.87     ;K3Ib                 
1710;HD 133161                          ;PM*;15 02 33.0594755544 +16 03 18.321447024;-226.390 76.679     ;25.9686   ;-32.960    ;-0.000110   ;-32.96     ;     ~   ;7.61     ;     ~   ;6.6      ;     ~   ;G2V                  
1711;* kap Ser                          ;PM*;15 48 44.3772022650 +18 08 29.633668968;-52.407 -88.419     ;8.5231    ;-38.48     ;-0.000128   ;-38.48     ;7.66     ;5.71     ;4.09     ;2.84     ;1.86     ;M0.5IIIab            
1712;* r Her                            ;SB*;16 01 14.3117373240 +17 49 06.163202784;-42.530 160.937     ;11.7099   ;-17.85     ;-0.000060   ;-17.85     ;     ~   ;     ~   ;     ~   ;4.5      ;     ~   ;G8IIIb               
1713;* gam Her                          ;PM*;16 21 55.2146227867 +19 09 11.262744388; -47.283 43.139     ;16.8670   ;-30.73     ;-0.000102   ;-30.73     ;4.22     ;4.03     ;3.76     ;3.47     ;3.33     ;A9IIIbn              
1714;HD 156111                          ;SB*;17 14 57.1389965184 +19 40 57.310447332;-88.971 -180.416    ;22.4720   ;-52.01     ;-0.000173   ;-52.01     ;     ~   ;     ~   ;     ~   ;6.7      ;     ~   ;G8V                  
1715;* 106 Her                          ;PM*;18 20 17.9149366104 +21 57 40.667073804; 17.962 -59.923     ;8.3436    ;-35.20     ;-0.000117   ;-35.20     ;8.54     ;6.54     ;4.96     ;3.62     ;2.62     ;M1III                
1716;* 109 Her                          ;** ;18 23 41.8897062084 +21 46 11.109609046;195.971 -243.234    ;26.9636   ;-58.16     ;-0.000194   ;-58.15     ;6.18     ;5.02     ;3.84     ;2.99     ;2.39     ;K2IIIab              
1717;HD 170829                          ;SB*;18 30 41.6507921448 +20 48 54.168637788;16.278 -264.697     ;28.5239   ;-65.00     ;-0.000217   ;-64.99     ;     ~   ;7.28     ;6.48     ;6.0      ;     ~   ;G8V                  
1718;* 110 Her                          ;PM*;18 45 39.7256792847 +20 32 46.713086264;-9.086 -335.655     ;51.6743   ;22.772     ;0.000076    ;22.77      ;4.66     ;4.65     ;4.19     ;3.80     ;3.54     ;F5.5IV-V             
1719;HD 178330                          ;PM*;19 07 23.8177748400 +20 25 30.880534836;-36.043 -178.575    ;8.8746    ;-56.767    ;-0.000189   ;-56.76     ;9.400    ;8.460    ;     ~   ;6.8      ;     ~   ;K2                   
1720;HD 182955                          ;*  ;19 26 28.6865078856 +19 53 29.381827056;  0.353 -47.507     ;5.6535    ;-31.57     ;-0.000105   ;-31.57     ;9.29     ;7.39     ;5.87     ;4.69     ;3.65     ;M0III                
1721;HD 185859                          ;Em*;19 40 28.3246282752 +20 28 37.474738716;  -0.082 -5.351     ;0.9658    ;5.2        ;0.000017    ;5.20       ;6.290    ;6.890    ;6.520    ;6.18     ;5.92     ;B3I+                 
1722;* 9 Vul                            ;*  ;19 34 34.8970506960 +19 46 24.242282112;   12.100 5.142     ;5.8317    ;5.00       ;0.000017    ;5.00       ;4.48     ;4.91     ;5.00     ;5.01     ;5.10     ;B8IIIn               
1723;* alf Sge                          ;*  ;19 40 05.7913315848 +18 00 50.006621484; 15.076 -20.287     ;7.6353    ;1.667      ;0.000006    ;1.67       ;5.59     ;5.16     ;4.38     ;3.79     ;3.40     ;G1II                 
1724;* del Sge                          ;SB*;19 47 23.2655973192 +18 32 03.528856248;    7.277 0.318     ;5.9674    ;2.5        ;0.000008    ;2.50       ;6.20     ;5.12     ;3.81     ;2.37     ;1.08     ;M2II+B0V             
1725;* zet Sge                          ;** ;19 48 58.6597780 +19 08 31.351561      ;    17.63 26.27     ;12.79     ;-16.60     ;-0.000055   ;-16.60     ;     ~   ;5.105    ;5.034    ;6.62     ;     ~   ;A3V                  
1726;* gam Sge                          ;PM*;19 58 45.4282303572 +19 29 31.726069716;  65.005 22.721     ;11.3375   ;-33.591    ;-0.000112   ;-33.59     ;6.97     ;5.04     ;3.47     ;2.27     ;1.35     ;M0-III               
1727;* 15 Sge                           ;PM*;20 04 06.2207683221 +17 04 12.676556401;-387.472 -419.497   ;56.2693   ;4.57       ;0.000015    ;4.57       ;     ~   ;6.390    ;5.788    ;5.4      ;     ~   ;G0V                  
1728;* alf Del                          ;** ;20 39 38.2796355689 +15 54 43.776032197; 71.574 -30.655     ;13.7298   ;-3.40      ;-0.000011   ;-3.40      ;3.550    ;3.740    ;3.800    ;3.77     ;3.81     ;B9IV                 
1729;* gam01 Del                        ;PM*;20 46 38.8610460432 +16 07 26.861778660;-11.702 -203.994    ;27.8884   ;-6.97      ;-0.000023   ;-6.97      ;     ~   ;5.53     ;4.96     ;3.6      ;     ~   ;F8V                  
1730;* gam02 Del                        ;PM*;20 46 39.4998239664 +16 07 27.458234724;-30.476 -197.504    ;28.1359   ;-6.17      ;-0.000021   ;-6.17      ;     ~   ;5.26     ;4.25     ;4.1      ;     ~   ;K1IV                 
1731;HD 135101B                         ;PM*;15 12 43.7765264754 +19 17 32.775938988;-593.723 283.636    ;30.7954   ;-38.801    ;-0.000129   ;-38.80     ;     ~   ;8.26     ;     ~   ;6.8      ;     ~   ;G7V                  
1732;HD 135101                          ;PM*;15 12 43.4807788693 +19 17 09.742475250;-595.904 293.484    ;30.8032   ;-38.898    ;-0.000130   ;-38.90     ;     ~   ;7.36     ;     ~   ;6.2      ;     ~   ;G5V_Fe-0.9           
1733;HD 136923                          ;PM*;15 22 46.8339234864 +18 55 08.256962100;-229.905 77.607     ;50.7454   ;-6.935     ;-0.000023   ;-6.93      ;8.315    ;7.932    ;7.123    ;6.697    ;6.302    ;G9V                  
1734;* rho Ser                          ;PM*;15 51 15.9092751251 +20 58 40.513558638; -53.507 17.999     ;8.0776    ;-61.96     ;-0.000207   ;-61.95     ;8.20     ;6.32     ;4.78     ;3.56     ;2.71     ;K4.5III              
1735;V* QY Ser                          ;LP*;15 54 34.6121990064 +20 18 39.483057780; -82.922 42.620     ;5.0022    ;-61.32     ;-0.000205   ;-61.31     ;8.98     ;7.03     ;5.44     ;4.18     ;3.21     ;K8IIIb               
1736;* bet Her                          ;SB*;16 30 13.2003216885 +21 29 22.598684027;-98.822 -14.869     ;22.0023   ;-25.91     ;-0.000086   ;-25.91     ;4.39     ;3.70     ;2.77     ;2.13     ;1.65     ;G7IIIaFe-0.5         
1737;HD 149907                          ;PM*;16 36 53.9397389616 +22 52 04.503653508;106.520 -137.370    ;10.6526   ;-10.10     ;-0.000034   ;-10.10     ;8.720    ;7.870    ;     ~   ;6.2      ;     ~   ;K0III                
1738;HD 151202                          ;PM*;16 45 02.2911670080 +23 43 03.727163892;-164.699 -29.051    ;17.8534   ;-29.366699 ;-0.000098   ;-29.37     ;9.140    ;8.310    ;     ~   ;6.7      ;     ~   ;K0                   
1739;* del Her                          ;SB*;17 15 01.91058 +24 50 21.1451          ; -21.18 -156.48     ;43.41     ;-40.0      ;-0.000133   ;-40.00     ;3.29     ;3.21     ;3.13     ;3.08     ;3.05     ;A1IVn                
1740;HD 157466                          ;PM*;17 22 27.6459785904 +24 52 45.935235804;74.258 -176.618     ;33.5684   ;34.101     ;0.000114    ;34.10      ;     ~   ;     ~   ;     ~   ;6.6      ;     ~   ;F8V                  
1741;* 113 Her                          ;SB*;18 54 44.8849895400 +22 38 42.271489464;    6.571 1.305     ;7.5501    ;-21.94     ;-0.000073   ;-21.94     ;5.88     ;5.38     ;4.60     ;3.96     ;3.50     ;G8III+:+A0.5         
1742;* 1 Vul                            ;SB*;19 16 13.0391965104 +21 23 25.544515308;  -0.383 -5.809     ;4.2065    ;-17.0      ;-0.000057   ;-17.00     ;4.18     ;4.72     ;4.77     ;4.76     ;4.83     ;B4IV                 
1743;HD 184385                          ;PM*;19 33 25.5526276656 +21 50 25.176346080;-21.439 -205.771    ;47.9716   ;11.458     ;0.000038    ;11.46      ;7.970    ;7.630    ;6.880    ;6.468    ;6.098    ;G8V                  
1744;HD 187238                          ;s*r;19 48 11.8385295864 +22 45 46.347988680;   0.326 -5.053     ;0.9102    ;-2.61      ;-0.000009   ;-2.61      ;11.27    ;9.23     ;7.19     ;5.60     ;4.59     ;K2Iab-Ib             
1745;* 12 Vul                           ;Be*;19 51 04.1083085616 +22 36 36.172997964; 23.404 -15.797     ;5.1710    ;-24.90     ;-0.000083   ;-24.90     ;4.15     ;4.84     ;4.96     ;4.98     ;5.12     ;B2.5Ve               
1746;HD 190066                          ;s*b;20 02 22.1030449008 +22 09 05.249915568; -4.802 -11.353     ;0.6001    ;25.020599  ;0.000083    ;25.02      ;6.07     ;6.78     ;6.60     ;6.43     ;6.36     ;B0.7Ib               
1747;HD 195019                          ;PM*;20 28 18.6366815627 +18 46 10.180434472;349.620 -56.618     ;26.6465   ;-91.290    ;-0.000304   ;-91.28     ;7.730    ;     ~   ;     ~   ;6.5      ;     ~   ;G1V                  
1748;V* EU Del                          ;LP*;20 37 54.7276970976 +18 16 06.894742044;  35.347 61.883     ;8.4315    ;-66.2      ;-0.000221   ;-66.19     ;8.42     ;7.38     ;5.89     ;3.24     ;0.97     ;M6III                
1749;HD 140572                          ;PM*;15 43 33.0707380584 +22 55 13.808563284;35.905 -192.024     ;15.3918   ;-20.579    ;-0.000069   ;-20.58     ;     ~   ;     ~   ;     ~   ;6.9      ;     ~   ;F8V                  
1750;* lam Her                          ;*  ;17 30 44.3098209648 +26 06 38.324204244;  18.782 16.184     ;8.2943    ;-26.51     ;-0.000088   ;-26.51     ;7.53     ;5.85     ;4.41     ;3.37     ;2.62     ;K3.5III              
1751;* mu.01 Her                        ;** ;17 46 27.5472960785 +27 43 14.560978925;-312.087 -773.179   ;119.9248  ;-17.78     ;-0.000059   ;-17.78     ;4.56     ;4.17     ;3.42     ;2.89     ;2.51     ;G5IV                 
1752;* 89 Her                           ;pA*;17 55 25.1883476136 +26 02 59.968457664;    3.980 5.282     ;0.7608    ;-28.5      ;-0.000095   ;-28.50     ;5.36     ;5.70     ;5.36     ;5.06     ;4.94     ;F2Ibp                
1753;HD 164922                          ;PM*;18 02 30.8623420470 +26 18 46.805024012;389.772 -602.431    ;45.4954   ;20.241     ;0.000068    ;20.24      ;     ~   ;7.79     ;     ~   ;6.5      ;     ~   ;G9V                  
1754;HD 173780                          ;*  ;18 46 04.4794939944 +26 39 43.664068548;  17.445 23.833     ;13.386    ;-16.92     ;-0.000056   ;-16.92     ;7.26     ;6.04     ;4.84     ;3.96     ;3.35     ;K2III                
1755;HD 181098                          ;PM*;19 18 11.7805395552 +24 24 55.963294848; 67.819 164.222     ;8.5254    ;-73.68     ;-0.000246   ;-73.67     ;     ~   ;     ~   ;     ~   ;6.6      ;     ~   ;K2III                
1756;* 3 Cyg                            ;** ;19 25 25.7579593032 +24 54 45.990132161;-176.737 -630.847   ;35.3331   ;-2.219     ;-0.000007   ;-2.22      ;     ~   ;6.70     ;     ~   ;5.9      ;     ~   ;F8                   
1757;* alf Vul                          ;PM*;19 28 42.3299213429 +24 39 53.661067470;-126.197 -106.865   ;11.2238   ;-85.391    ;-0.000285   ;-85.38     ;7.77     ;5.95     ;4.45     ;3.24     ;2.27     ;M0.5IIIb             
1758;HD 184590                          ;*  ;19 34 14.0946763632 +25 21 09.073798632; -1.983 -18.436     ;1.809     ;24.17      ;0.000081    ;24.17      ;10.990   ;8.880    ;7.080    ;6.06     ;5        ;M1III                
1759;HD 186379                          ;PM*;19 43 07.0299027408 +24 35 52.587634884;87.392 -271.077     ;23.2165   ;-7.721     ;-0.000026   ;-7.72      ;     ~   ;7.41     ;     ~   ;6.5      ;     ~   ;F8V                  
1760;HD 187299                          ;SB*;19 48 21.5927942856 +25 00 34.369891380;  -2.533 -3.081     ;1.1003    ;-3.70      ;-0.000012   ;-3.70      ;10.41    ;8.87     ;7.25     ;6.03     ;5.24     ;G8Ib+B6/9V           
1761;V* NR Vul                          ;s*r;19 50 11.9276355408 +24 55 24.180686508;  -2.023 -6.024     ;0.3225    ;11.58      ;0.000039    ;11.58      ;     ~   ;12.41    ;9.36     ;6.60     ;4.49     ;M1Ia:                
1762;HD 189067                          ;PM*;19 57 19.7791797600 +24 05 17.363762700;-115.370 -124.833   ;23.1482   ;-10.902    ;-0.000036   ;-10.90     ;7.920    ;7.800    ;     ~   ;6.8      ;     ~   ;G2V                  
1763;HD 190404                          ;PM*;20 03 52.1269218534 +23 20 26.469023374;-1003.993 -912.718  ;64.0120   ;-2.470     ;-0.000008   ;-2.47      ;8.490    ;8.080    ;7.270    ;6.759    ;6.314    ;K1V                  
1764;HD 195034                          ;PM*;20 28 11.8154523936 +22 07 44.371249212;-22.644 -244.007    ;35.5219   ;-0.891     ;-0.000003   ;-0.89      ;     ~   ;     ~   ;     ~   ;6.7      ;     ~   ;G5                   
1765;* 29 Vul                           ;PM*;20 38 31.3388452704 +21 12 04.185221724;   69.968 7.444     ;18.2449   ;-22.10     ;-0.000074   ;-22.10     ;4.73     ;4.80     ;4.82     ;4.79     ;4.83     ;A0Va(_sh)            
1766;HD 197076                          ;PM*;20 40 45.1407228005 +19 56 07.930118119;118.708 312.222     ;47.7457   ;-35.381    ;-0.000118   ;-35.38     ;7.14     ;7.06     ;6.44     ;5.95     ;5.61     ;G5V                  
1767;* del CrB                          ;RS*;15 49 35.6469970632 +26 04 06.214310112;-78.907 -64.894     ;19.4965   ;-20.36     ;-0.000068   ;-20.36     ;5.80     ;5.43     ;4.63     ;4.00     ;3.58     ;G5III-IVFe-1         
1768;* eps CrB                          ;PM*;15 57 35.2514020181 +26 52 40.366652765;-77.716 -60.971     ;13.4922   ;-32.42     ;-0.000108   ;-32.42     ;6.650    ;5.360    ;4.130    ;3.27     ;2.64     ;K2IIIab              
1769;HD 144287                          ;SB*;16 04 03.6443478821 +25 15 17.247159500;-495.683 689.516    ;46.2311   ;-48.88     ;-0.000163   ;-48.88     ;     ~   ;7.873    ;7.101    ;6.6      ;     ~   ;G8+V                 
1770;HD 145457                          ;RG*;16 10 03.9144033672 +26 44 33.893220120; -18.354 36.856     ;7.3867    ;-2.859130  ;-0.000010   ;-2.86      ;     ~   ;7.61     ;6.565    ;6.91     ;     ~   ;K0III                
1771;* nu. Her                          ;LP*;17 58 30.1496073102 +30 11 21.387652276;   -1.386 3.799     ;4.7477    ;-24.302    ;-0.000081   ;-24.30     ;4.95     ;4.80     ;4.41     ;4.01     ;3.78     ;kA9hF2mF2(IV)        
1772;* ksi Her                          ;LP*;17 57 45.8856741278 +29 14 52.366005079; 81.919 -18.962     ;23.8544   ;-1.756     ;-0.000006   ;-1.76      ;5.34     ;4.64     ;3.70     ;3.01     ;2.55     ;G8.5III              
1773;HD 164595                          ;PM*;18 00 38.8944915648 +29 34 18.921829044;-138.982 173.502    ;35.402    ;2.048      ;0.000007    ;2.05       ;     ~   ;7.72     ;     ~   ;6.7      ;     ~   ;G2V                  
1774;HD 165281                          ;PM*;18 03 53.4012979344 +30 22 38.001429660;-49.568 -275.241    ;20.7828   ;2.000      ;0.000007    ;2.00       ;     ~   ;     ~   ;     ~   ;6.5      ;     ~   ;F5V                  
1775;* b Her                            ;SB*;18 07 01.5906608928 +30 33 43.584892488;-100.150 53.998     ;63.3943   ;-0.17      ;-0.000001   ;-0.17      ;5.52     ;5.67     ;5.13     ;4.61     ;4.28     ;F6V                  
1776;HD 166411                          ;PM*;18 09 10.2256072584 +30 28 10.207144704; 80.844 143.135     ;8.4462    ;-83.83     ;-0.000280   ;-83.82     ;     ~   ;     ~   ;     ~   ;5.6      ;     ~   ;K1III:               
1777;HD 167588                          ;PM*;18 14 43.9996972296 +29 12 26.301627612;11.975 -240.204     ;23.3612   ;1.727      ;0.000006    ;1.73       ;     ~   ;7.10     ;     ~   ;6.2      ;     ~   ;F8V                  
1778;HD 169981                          ;SB*;18 25 58.7869816656 +29 49 44.149000404; 22.706 -24.375     ;8.4874    ;8.5        ;0.000028    ;8.50       ;5.99     ;5.90     ;5.83     ;5.75     ;5.71     ;A2IV                 
1779;* bet01 Cyg                        ;** ;19 30 43.2756033620 +27 57 34.825072398;  4.915 -11.127     ;8.9816    ;-24.7752   ;-0.000083   ;-24.77     ;4.83     ;4.21     ;3.08     ;2.21     ;1.55     ;K3II+B9.5V           
